instance; execution; seed; number_of_tasks; cycle_time; iterations; restarts; solution; duration;
WEE-MAG; 1; 1529275444; 75; 56; 600; 2; 31; 8.48529;
WEE-MAG; 1; 1529275452; 75; 56; 600; 3; 31; 12.3295;
WEE-MAG; 1; 1529275464; 75; 56; 600; 4; 31; 17.0018;
WEE-MAG; 1; 1529275481; 75; 56; 600; 5; 31; 21.2523;
WEE-MAG; 1; 1529275503; 75; 56; 700; 1; 31; 4.71925;
WEE-MAG; 1; 1529275507; 75; 56; 700; 2; 31; 10.3449;
WEE-MAG; 1; 1529275518; 75; 56; 700; 3; 31; 14.6579;
WEE-MAG; 1; 1529275532; 75; 56; 700; 4; 31; 19.7365;
WEE-MAG; 1; 1529275552; 75; 56; 700; 5; 31; 24.8308;
WEE-MAG; 1; 1529275577; 75; 56; 800; 1; 32; 5.40683;
WEE-MAG; 1; 1529275582; 75; 56; 800; 2; 32; 11.2824;
WEE-MAG; 1; 1529275594; 75; 56; 800; 3; 31; 17.1581;
WEE-MAG; 1; 1529275611; 75; 56; 800; 4; 31; 23.4087;
WEE-MAG; 1; 1529275634; 75; 56; 800; 5; 31; 27.4092;
WEE-MAG; 1; 1529275662; 75; 56; 900; 1; 31; 6.40694;
WEE-MAG; 1; 1529275668; 75; 56; 900; 2; 31; 13.3608;
WEE-MAG; 1; 1529275682; 75; 56; 900; 3; 31; 18.3926;
WEE-MAG; 1; 1529275700; 75; 56; 900; 4; 31; 25.2371;
WEE-MAG; 1; 1529275725; 75; 56; 900; 5; 31; 33.6287;
WEE-MAG; 1; 1529275759; 75; 56; 1000; 1; 31; 6.37566;
WEE-MAG; 1; 1529275765; 75; 56; 1000; 2; 32; 14.0172;
WEE-MAG; 1; 1529275779; 75; 56; 1000; 3; 31; 21.4242;
WEE-MAG; 1; 1529275801; 75; 56; 1000; 4; 31; 27.9874;
WEE-MAG; 1; 1529275829; 75; 56; 1000; 5; 31; 36.9415;
WEE-MAG; 1; 1529275866; 75; 28; 100; 1; 63; 2.73467;
WEE-MAG; 1; 1529275868; 75; 28; 100; 2; 63; 4.73489;
WEE-MAG; 1; 1529275873; 75; 28; 100; 3; 63; 6.96953;
WEE-MAG; 1; 1529275880; 75; 28; 100; 4; 63; 9.92295;
WEE-MAG; 1; 1529275890; 75; 28; 100; 5; 63; 11.3762;
